station,dttm,lon,lat,temp,sal,fluor,moon_phase,moon_mode,tow_dist,biomass,nekt_total_num,nekt_total_vol,daynight,biodens
C282-001-NT,2018-10-15T12:23:00.000Z,-71.15,41.32,18.2,31.8,2820.9,0.38,Risen,1822,147,48,2,day,0.08068057080131723
C282-002-NT,2018-10-16T23:50:00.000Z,-70.55833333333334,40.501666666666665,16.8,32.9,2737,0.57,Set,1927.46,71.5,7,1.2,night,0.03709545204569745
C282-003-NT,2018-10-17T12:16:00.000Z,-70.02333333333333,39.88166666666667,20.3,34.86,877.9,0.57,Set,2401.88,3.6,3,0.6,day,0.0014988259196962379
C282-005-NT,2018-10-19T11:16:00.000Z,-68.665,38.15833333333333,21.8,34.92,1553.8,0.75,Risen,2794,2.8,3,0.8,day,0.001002147458840372
C282-006-NT,2018-10-19T23:50:00.000Z,-67.77,36.905,26.1,36.41,529.4,0.83,Risen,2323.99,8.5,10,1.4,night,0.0036575028291860124
C282-007-NT,2018-10-20T11:24:00.000Z,-67.07833333333333,36.333333333333336,25.8,36.4,465.4,0.83,Set,2726.3,2,1,0.2,day,7.335949822103216e-4
C282-008-NT,2018-10-22T23:21:00.000Z,-61.765,36.085,25.2,36.49,521.34,0.95,risen,1361.69,8,10,3.65,night,0.0058750523246847665
C282-009-NT,2018-10-23T12:13:00.000Z,-61.086666666666666,35.53666666666667,24.3,36.54,413.4,0.98,Set,1314.3,5,2,0.2,day,0.0038043064749296203
C282-010-NT,2018-10-23T23:34:00.000Z,-60.973333333333336,34.995,25.2,36.8,410.7,0.98,risen,1533.35,7,14,3.0999999999999996,night,0.004565167769915545
C282-011-NT,2018-10-24T11:27:00.000Z,-60.53666666666667,34.66,25.2,36.8,403.8,1,Set,1844.72,5.5,0,0,day,0.0029814822845743525
C282-012-NT,2018-10-25T00:06:00.000Z,-60.29666666666667,34.07833333333333,24.7,36.77,411.2,0.99,Set,1809.23,5,4,3.5,night,0.002763606617179684
C282-013-NT,2018-10-25T11:14:00.000Z,-60.221666666666664,33.07833333333333,25,36.8,422,0.99,Set,2444.33,3.3,0,0,day,0.0013500632075047149
C282-014-NT,2018-10-25T23:23:00.000Z,-60.416666666666664,31.671666666666667,25.1,36.94,411.3,0.99,Risen,2269.05,6.5,18,6.4,night,0.0028646349793966636
C282-015-NT,2018-10-26T11:19:00.000Z,-60.681666666666665,30.426666666666666,25.6,36.83,429.6,0.96,Set,1675.05,1.3,0,0,day,7.760962359332558e-4
C282-016-NT,2018-10-26T23:30:00.000Z,-60.763333333333335,29.475,25.4,36.83,511.5,0.96,Risen,2160.88,1.5,13,7,night,6.941616378512458e-4
C282-017-NT,2018-10-27T11:15:00.000Z,-60.96666666666667,28.255,26.8,37,506.4,0.91,Set,1684.1,1,1,0,day,5.937889674009857e-4
C282-018-NT,2018-10-27T23:23:00.000Z,-61.31166666666667,26.883333333333333,27.4,37.03,581.5,0.91,risen,2159.2,4,5,1.2,night,0.0018525379770285293
C282-019-NT,2018-10-29T00:09:00.000Z,-62.08166666666666,24.401666666666667,28.15,36.81,506.4,0.83,Risen,2317,9,14,2.8,night,0.003884333189469141
C282-020-NT,2018-10-29T11:56:00.000Z,-62.001666666666665,23.64666666666667,28.3,36.7,511.6,0.74,Set,3232.6,1.5,0,0,day,4.640227680504857e-4
C282-021-NT,2018-10-29T23:48:00.000Z,-61.42,23.34,28.2,36.7,534.6,0.74,Risen,1118.45,4,30,6.2,night,0.0035763780231570477
C282-022-NT,2018-10-30T12:00:00.000Z,-60.53333333333333,23.201666666666668,27.7,36.96,532.6,0.64,Risen,2093.6,1.75,0,0,day,8.358807795185327e-4
C282-023-NT,2018-10-30T23:34:00.000Z,-59.74333333333333,23.083333333333332,27.7,36.9,515.7,0.64,risen,1679.4,3.9,13,3.2,night,0.0023222579492675954
C282-024-NT,2018-10-31T11:53:00.000Z,-58.52166666666667,23.051666666666666,28,36.9,535.5,0.52,risen,2158.45,2.5,1,1.5,day,0.0011582385508119254
C282-025-NT,2018-10-31T23:36:00.000Z,-57.44833333333333,22.795,27.8,36.61,534.4,0.52,Set,1832.06,1.52,30,3.0300000000000002,night,8.296671506391712e-4
C282-026-NT,2018-11-01T11:29:00.000Z,-56.906666666666666,22.323333333333334,27.7,36.86,524.6,0.41,risen,1874.3,1,0,0,day,5.335325188070213e-4
C282-027-NT,2018-11-01T23:33:00.000Z,-56.17333333333333,21.511666666666667,27.9,36.71,509.9,0.41,Set,2226.64,1.45,39,4.8,night,6.512054036575288e-4
C282-028-NT,2018-11-02T11:43:00.000Z,-55.83833333333333,20.883333333333333,28.1,35.8,536.5,0.3,Risen,1648.07,1.4,0,0,day,8.49478480889768e-4
C282-029-NT,2018-11-02T23:34:00.000Z,-55.721666666666664,20.125,28,36.04,554,0.3,Set,1716.7,5,0,0,night,0.0029125648045669017
C282-030-NT,2018-11-03T12:26:00.000Z,-55.696666666666665,19.415,28.1,35.2,580.2,0.2,Risen,1974.58,1.5,1,0.1,day,7.596552178184728e-4
C282-031-NT,2018-11-04T00:01:00.000Z,-55.715,18.86,28.1,35.35,566.9,0.12,Set,1306.43,6.5,13,13,night,0.004975390950912028
C282-032-NT,2018-11-04T11:25:00.000Z,-55.64333333333333,18.236666666666668,28.3,35.95,564,0.12,risen,2074,2,1,0.2,day,9.643201542912247e-4
C282-033-NT,2018-11-04T23:55:00.000Z,-55.708333333333336,17.423333333333332,28.4,36.01,570.1,0.12,Set,1855.5,9.5,16,1.6,night,0.005119913769873349
C282-034-NT,2018-11-05T11:39:00.000Z,-55.71333333333333,16.806666666666665,28.4,36.03,548.1,0.06,risen,1715.02,1.5,0,0,day,8.746253688003638e-4
C282-035-NT,2018-11-06T00:35:00.000Z,-55.745,16.098333333333333,28.2,35.01,519.4,0.02,Set,2460.9,19,21,5.199999999999999,night,0.007720752570197895
C282-036-NT,2018-11-06T11:46:00.000Z,-55.99166666666667,15.633333333333333,28.2,36.3,606.3,0.02,Risen,2519.56,7.5,0,0,day,0.00297671021924463
C282-037-NT,2018-11-06T23:25:00.000Z,-55.75333333333333,15.62,28.2,35.809,561.22,0,Set,1381.66,17,0,0,night,0.012304040067744597
C282-038-NT,2018-11-07T11:35:00.000Z,-55.693333333333335,15.01,28.3,34.4,574.4,0,risen,1102.15,2.5,0,0,day,0.0022682937894116044
C282-039-NT,2018-11-07T23:28:00.000Z,-55.531666666666666,14.226666666666667,28.4,33.86,636.34,0,Set,1909,13,3,1.3,night,0.006809848088004191
C282-040-NT,2018-11-08T11:47:00.000Z,-55.515,13.365,28.6,34.67,577.9,0.01,Risen,1590.03,19.5,25,9,day,0.01226391954868776
C282-041-NT,2018-11-09T00:34:00.000Z,-55.67166666666667,12.5,28.5,35.08,528.6,0.01,Set,2390.7,14.2,11,2.2,night,0.005939682938051617
C282-042-NT,2018-11-09T13:41:00.000Z,-55.85166666666667,11.808333333333334,28.4,34.77,561.2,0.04,Risen,1240.38,2,0,0,day,0.0016124091004369628
C282-043-NT,2018-11-11T23:35:00.000Z,-61.11333333333334,12.28,NA,NA,NA,0.15,Set,1818,8.1,18,16.5,night,0.004455445544554455
C282-044-NT,2018-11-17T23:32:00.000Z,-61.54666666666667,12.546666666666667,28.6,NA,34.52,0.68,risen,2368.4,5.39,0,0,night,0.002275798007093396
C282-045-NT,2018-11-18T02:19:00.000Z,-61.70333333333333,12.326666666666666,28.6,NA,34.8,0.76,set,1621,12,4,1.2,night,0.007402837754472548
