lon,lat,z
-179.875,49.875,-5354.33
-179.625,49.875,-5354.33
-179.375,49.875,-5385.83
-179.125,49.875,-5354.33
-178.875,49.875,-5291.34
-178.625,49.875,-5291.34
-178.375,49.875,-5259.84
-178.125,49.875,-5259.84
-177.875,49.875,-5259.84
-177.625,49.875,-5228.35
-177.375,49.875,-5196.85
-177.125,49.875,-5322.83
-176.875,49.875,-5228.35
-176.625,49.875,-4881.89
-176.375,49.875,-4629.92
-176.125,49.875,-5102.36
-175.875,49.875,-5196.85
-175.625,49.875,-5259.84
-175.375,49.875,-5228.35
-175.125,49.875,-5196.85
-174.875,49.875,-5165.35
-174.625,49.875,-5070.87
-174.375,49.875,-5102.36
-174.125,49.875,-5102.36
-173.875,49.875,-5102.36
-173.625,49.875,-5102.36
-173.375,49.875,-5133.86
-173.125,49.875,-5007.87
-172.875,49.875,-5511.81
-172.625,49.875,-5354.33
-172.375,49.875,-5259.84
-172.125,49.875,-5259.84
-171.875,49.875,-5291.34
-171.625,49.875,-5259.84
-171.375,49.875,-5259.84
-171.125,49.875,-5259.84
-170.875,49.875,-5259.84
-170.625,49.875,-5259.84
-170.375,49.875,-5259.84
-170.125,49.875,-5259.84
-169.875,49.875,-5259.84
-169.625,49.875,-5259.84
-169.375,49.875,-5259.84
-169.125,49.875,-5259.84
-168.875,49.875,-5259.84
-168.625,49.875,-5259.84
-168.375,49.875,-5228.35
-168.125,49.875,-5228.35
-167.875,49.875,-5228.35
-167.625,49.875,-5196.85
-167.375,49.875,-5196.85
-167.125,49.875,-5165.35
-166.875,49.875,-5165.35
-166.625,49.875,-5165.35
-166.375,49.875,-5133.86
-166.125,49.875,-5133.86
-165.875,49.875,-5102.36
-165.625,49.875,-5070.87
-165.375,49.875,-5070.87
-165.125,49.875,-5039.37
-164.875,49.875,-4881.89
-164.625,49.875,-4913.39
-164.375,49.875,-4913.39
-164.125,49.875,-4881.89
-163.875,49.875,-4850.39
-163.625,49.875,-4850.39
-163.375,49.875,-4818.9
-163.125,49.875,-4881.89
-162.875,49.875,-4944.88
-162.625,49.875,-4944.88
-162.375,49.875,-4976.38
-162.125,49.875,-4976.38
-161.875,49.875,-4976.38
-161.625,49.875,-5007.87
-161.375,49.875,-5007.87
-161.125,49.875,-5039.37
-160.875,49.875,-5039.37
-160.625,49.875,-5039.37
-160.375,49.875,-5007.87
-160.125,49.875,-5007.87
-159.875,49.875,-5039.37
-159.625,49.875,-5039.37
-159.375,49.875,-5039.37
-159.125,49.875,-5070.87
-158.875,49.875,-4818.9
-158.625,49.875,-4850.39
-158.375,49.875,-4850.39
-158.125,49.875,-4818.9
-157.875,49.875,-4850.39
-157.625,49.875,-4598.43
-157.375,49.875,-4850.39
-157.125,49.875,-4913.39
-156.875,49.875,-5007.87
-156.625,49.875,-5007.87
-156.375,49.875,-5007.87
-156.125,49.875,-5007.87
-155.875,49.875,-4913.39
-155.625,49.875,-4881.89
-155.375,49.875,-4818.9
-155.125,49.875,-4818.9
-154.875,49.875,-4850.39
-154.625,49.875,-4850.39
-154.375,49.875,-4881.89
-154.125,49.875,-4850.39
-153.875,49.875,-4755.91
-153.625,49.875,-4724.41
-153.375,49.875,-4629.92
-153.125,49.875,-4598.43
-152.875,49.875,-4535.43
-152.625,49.875,-4566.93
-152.375,49.875,-4913.39
-152.125,49.875,-4881.89
-151.875,49.875,-4818.9
-151.625,49.875,-4818.9
-151.375,49.875,-4818.9
-151.125,49.875,-4818.9
-150.875,49.875,-4818.9
-150.625,49.875,-4818.9
-150.375,49.875,-4818.9
-150.125,49.875,-4818.9
-149.875,49.875,-4818.9
-149.625,49.875,-4818.9
-149.375,49.875,-4724.41
-149.125,49.875,-4692.91
-148.875,49.875,-4661.42
-148.625,49.875,-4598.43
-148.375,49.875,-4503.94
-148.125,49.875,-4472.44
-147.875,49.875,-4503.94
-147.625,49.875,-4629.92
-147.375,49.875,-4472.44
-147.125,49.875,-4409.45
-146.875,49.875,-4409.45
-146.625,49.875,-4440.94
-146.375,49.875,-4377.95
-146.125,49.875,-4346.46
-145.875,49.875,-4346.46
-145.625,49.875,-4314.96
-145.375,49.875,-4220.47
-145.125,49.875,-4188.98
-144.875,49.875,-4188.98
-144.625,49.875,-4188.98
-144.375,49.875,-4157.48
-144.125,49.875,-4157.48
-143.875,49.875,-4094.49
-143.625,49.875,-4000
-143.375,49.875,-4031.5
-143.125,49.875,-4000
-142.875,49.875,-4031.5
-142.625,49.875,-4031.5
-142.375,49.875,-4000
-142.125,49.875,-4031.5
-141.875,49.875,-4031.5
-141.625,49.875,-4031.5
-141.375,49.875,-4031.5
-141.125,49.875,-4031.5
-140.875,49.875,-4031.5
-140.625,49.875,-4031.5
-140.375,49.875,-3905.51
-140.125,49.875,-3905.51
-139.875,49.875,-3842.52
-139.625,49.875,-3842.52
-139.375,49.875,-3842.52
-139.125,49.875,-3874.02
-138.875,49.875,-3937.01
-138.625,49.875,-3968.5
-138.375,49.875,-3968.5
-138.125,49.875,-3937.01
-137.875,49.875,-3842.52
-137.625,49.875,-3842.52
-137.375,49.875,-3874.02
-137.125,49.875,-3905.51
-136.875,49.875,-3842.52
-136.625,49.875,-3779.53
-136.375,49.875,-3748.03
-136.125,49.875,-3685.04
-135.875,49.875,-3622.05
-135.625,49.875,-3559.06
-135.375,49.875,-3401.57
-135.125,49.875,-3559.06
-134.875,49.875,-3527.56
-134.625,49.875,-3559.06
-134.375,49.875,-3464.57
-134.125,49.875,-3433.07
-133.875,49.875,-3433.07
-133.625,49.875,-3401.57
-133.375,49.875,-2834.65
-133.125,49.875,-3338.58
-132.875,49.875,-3275.59
-132.625,49.875,-3181.1
-132.375,49.875,-3212.6
-132.125,49.875,-3181.1
-131.875,49.875,-3118.11
-131.625,49.875,-3275.59
-131.375,49.875,-2960.63
-131.125,49.875,-3023.62
-130.875,49.875,-2456.69
-130.625,49.875,-2425.2
-130.375,49.875,-2362.2
-130.125,49.875,-2425.2
-129.875,49.875,-2299.21
-129.625,49.875,-2204.72
-129.375,49.875,-2047.24
-129.125,49.875,-1921.26
-128.875,49.875,-1984.25
-128.625,49.875,-1984.25
-128.375,49.875,-2047.24
-128.125,49.875,-1952.76
-127.875,49.875,-818.9
-127.625,49.875,-283.46
-127.375,49.875,-31.5
-127.125,49.875,0
-126.875,49.875,0
-126.625,49.875,0
-126.375,49.875,0
-126.125,49.875,0
-125.875,49.875,0
-125.625,49.875,0
-125.375,49.875,0
-125.125,49.875,0
-124.875,49.875,-157.48
-124.625,49.875,0
-124.375,49.875,0
-124.125,49.875,0
-123.875,49.875,0
-123.625,49.875,0
-123.375,49.875,0
-123.125,49.875,0
-122.875,49.875,0
-122.625,49.875,0
-122.375,49.875,0
-122.125,49.875,0
-121.875,49.875,0
-121.625,49.875,0
-121.375,49.875,0
-121.125,49.875,0
-120.875,49.875,0
-120.625,49.875,0
-120.375,49.875,0
-120.125,49.875,0
-119.875,49.875,0
-119.625,49.875,0
-119.375,49.875,0
-119.125,49.875,0
-118.875,49.875,0
-118.625,49.875,0
-118.375,49.875,0
-118.125,49.875,0
-117.875,49.875,0
-117.625,49.875,0
-117.375,49.875,0
-117.125,49.875,0
-116.875,49.875,0
-116.625,49.875,0
-116.375,49.875,0
-116.125,49.875,0
-115.875,49.875,0
-115.625,49.875,0
-115.375,49.875,0
-115.125,49.875,0
-114.875,49.875,0
-114.625,49.875,0
-114.375,49.875,0
-114.125,49.875,0
-113.875,49.875,0
-113.625,49.875,0
-113.375,49.875,0
-113.125,49.875,0
-112.875,49.875,0
-112.625,49.875,0
-112.375,49.875,0
-112.125,49.875,0
-111.875,49.875,0
-111.625,49.875,0
-111.375,49.875,0
-111.125,49.875,0
-110.875,49.875,0
-110.625,49.875,0
-110.375,49.875,0
-110.125,49.875,0
-109.875,49.875,0
-109.625,49.875,0
-109.375,49.875,0
-109.125,49.875,0
-108.875,49.875,0
-108.625,49.875,0
-108.375,49.875,0
-108.125,49.875,0
-107.875,49.875,0
-107.625,49.875,0
-107.375,49.875,0
-107.125,49.875,0
-106.875,49.875,0
-106.625,49.875,0
-106.375,49.875,0
-106.125,49.875,0
-105.875,49.875,0
-105.625,49.875,0
-105.375,49.875,0
-105.125,49.875,0
-104.875,49.875,0
-104.625,49.875,0
-104.375,49.875,0
-104.125,49.875,0
-103.875,49.875,0
-103.625,49.875,0
-103.375,49.875,0
-103.125,49.875,0
-102.875,49.875,0
-102.625,49.875,0
-102.375,49.875,0
-102.125,49.875,0
-101.875,49.875,0
-101.625,49.875,0
-101.375,49.875,0
-101.125,49.875,0
-100.875,49.875,0
-100.625,49.875,0
-100.375,49.875,0
-100.125,49.875,0
