dttm,lon,lat,temp,sal,fluor,cdom_1min,xmiss_1min,depth,wind_sp,wind_dir,cruise
2009-10-15T22:00:17.000Z,-117.32905,32.65868333333333,19.7776,33.446,7.12,NA,2807.38,NA,13.96,329.44,S225
2009-10-15T23:00:17.000Z,-117.42863333333334,32.7324,20.3198,33.5366,7.18,NA,2793.12,479.75,14.6,315.87,S225
2009-10-16T00:00:17.000Z,-117.52831666666667,32.807766666666666,19.8401,33.471,6.5,NA,2789.65,1444.64,10.13,308.87,S225
2009-10-16T01:00:17.000Z,-117.62598333333331,32.88336666666667,20.4013,33.5734,6.86,NA,2804.28,935.2,11.05,333.8,S225
2009-10-16T02:00:17.000Z,-117.72254999999998,32.96273333333334,20.6161,33.6141,6.82,NA,2815.46,875.12,8.62,354.21,S225
2009-10-16T03:00:17.000Z,-117.82741666666668,33.03946666666666,20.8278,33.64,6.77,NA,2824.72,717.91,5.1,359.53,S225
2009-10-16T04:00:18.000Z,-117.95648333333332,33.07656666666667,20.7457,33.6093,6.59,NA,2821.34,903.3,3.91,276.41,S225
2009-10-16T05:00:18.000Z,-118.06779999999999,33.15115,20.7784,33.6276,6.59,NA,2812.48,955.28,2.08,266.98,S225
2009-10-16T06:00:18.000Z,-118.15491666666667,33.24983333333333,20.3197,33.5354,6.38,NA,2830.18,495.55,1.79,345.92,S225
2009-10-16T07:00:18.000Z,-118.23041666666668,33.35101666666667,20.1377,33.4893,6.26,NA,2847.11,651.58,3.01,76.29,S225
2009-10-16T08:00:18.000Z,-118.27805000000001,33.420649999999995,19.5763,33.3981,6.61,NA,2836.72,793.92,5.83,6.01,S225
2009-10-16T09:00:18.000Z,-118.38173333333333,33.520700000000005,20.0042,33.5039,5.91,NA,2845.43,844.36,3.87,27.28,S225
2009-10-16T10:00:19.000Z,-118.41321666666666,33.54225,20.1506,33.4997,6.04,NA,2842.21,844.43,1.64,232.96,S225
2009-10-16T11:00:19.000Z,-118.41428333333333,33.54256666666667,20.13,33.4889,5.86,NA,2848.39,895.51,4.15,279.39,S225
2009-10-16T12:00:19.000Z,-118.41499999999999,33.5418,20.0263,33.4989,5.7,NA,2849.07,896.15,2.51,356.91,S225
2009-10-16T13:00:19.000Z,-118.41695,33.53933333333333,20.0594,33.4945,5.54,NA,2853.43,896.86,7.22,314.9,S225
2009-10-16T14:00:19.000Z,-118.42041666666667,33.53651666666666,19.9123,33.4759,5.6,NA,2850.46,897.14,5.28,319.34,S225
2009-10-16T15:00:19.000Z,-118.42443333333334,33.534,20.056,33.4813,5.8,NA,2847.97,897.67,2.59,44.21,S225
2009-10-16T16:00:19.000Z,-118.43063333333333,33.532799999999995,21.9736,33.4511,5.72,NA,2811.05,897.73,4.5,47.83,S225
2009-10-16T17:00:20.000Z,-118.44011666666665,33.53253333333334,21.4037,33.3673,5.59,NA,2834.05,897.36,3.04,145.48,S225
2009-10-16T18:00:20.000Z,-118.4592,33.54023333333333,21.728,33.4544,5.25,NA,2839.82,895.99,2.37,135.91,S225
2009-10-16T19:00:20.000Z,-118.54473333333331,33.56608333333333,22.7258,33.4254,4.96,NA,2815.18,NA,4.13,294.13,S225
2009-10-16T20:00:20.000Z,-118.67603333333334,33.59135,22.8075,33.4038,5.47,NA,2798.05,NA,7.65,283.13,S225
2009-10-16T21:00:20.000Z,-118.78693333333334,33.53108333333333,22.8729,33.4184,5.45,NA,2798.11,NA,4.9,256.96,S225
2009-10-16T22:00:20.000Z,-118.87643333333332,33.46165,22.8076,33.2571,4.78,NA,2810.77,NA,6.01,271.73,S225
2009-10-16T23:00:21.000Z,-118.95136666666666,33.375083333333336,22.6392,33.4042,4.91,NA,2838.77,NA,6.16,281.85,S225
2009-10-17T00:00:21.000Z,-119.00039999999998,33.310616666666675,22.9119,33.354,4.94,NA,2841.41,937.33,7.78,311,S225
2009-10-17T01:00:21.000Z,-118.99011666666665,33.316266666666664,22.6884,33.3404,4.99,NA,2845.87,862.95,10.29,310.91,S225
2009-10-17T02:00:21.000Z,-118.97640000000001,33.318599999999996,22.3674,33.3584,4.94,NA,2850.7,742.04,12.46,312.29,S225
2009-10-17T03:00:21.000Z,-118.96481666666665,33.32015,22.0037,33.3846,4.87,NA,2852,680.27,8.43,309.51,S225
2009-10-17T04:00:21.000Z,-118.95461666666668,33.32183333333334,21.8147,33.3694,4.87,NA,2851.25,717.25,11.42,297.18,S225
2009-10-17T05:00:21.000Z,-118.92813333333335,33.3429,21.6471,33.3819,4.83,NA,2849.02,907.96,10.64,277.1,S225
2009-10-17T06:00:22.000Z,-118.90131666666667,33.366083333333336,21.4292,33.3885,4.84,NA,2849.49,1150.76,1.87,224.36,S225
2009-10-17T07:00:22.000Z,-118.95209999999999,33.35901666666666,21.2653,33.3895,4.81,NA,2847.51,912.98,5.8,333.92,S225
2009-10-17T08:00:22.000Z,-119.05661666666668,33.307833333333335,21.1069,33.4343,4.93,NA,2843.02,915.59,2.17,4.42,S225
2009-10-17T09:00:22.000Z,-119.16033333333336,33.259750000000004,20.8759,33.4698,5.93,NA,2839,993.35,5.09,276.62,S225
2009-10-17T10:00:22.000Z,-119.26106666666668,33.21678333333334,20.507,33.4928,5.47,NA,2837.11,153.7,6.33,286.11,S225
2009-10-17T11:00:22.000Z,-119.3736,33.17968333333334,20.115,33.5192,8.69,NA,2833,841.13,4.29,275.37,S225
2009-10-17T12:00:23.000Z,-119.48798333333335,33.16113333333333,19.7207,33.5177,5.55,NA,2828,NA,10.74,299.48,S225
2009-10-17T13:00:23.000Z,-119.62015000000002,33.15861666666666,19.5421,33.3416,4.97,NA,2825,NA,13.82,301.59,S225
2009-10-17T14:00:23.000Z,-119.69736666666668,33.15053333333333,19.3159,33.4892,5.15,NA,2822,NA,8.95,331.07,S225
2009-10-17T15:00:23.000Z,-119.80895000000001,33.13613333333333,19.2126,33.3965,5.42,NA,2816.93,NA,7.17,315.92,S225
2009-10-17T16:00:23.000Z,-119.93298333333333,33.14841666666667,19.0929,33.3696,5.15,NA,2803.72,NA,8.94,320.54,S225
2009-10-17T17:00:23.000Z,-120.01303333333333,33.155166666666666,19.0583,33.3457,5.56,NA,2807,NA,11.82,306.94,S225
2009-10-17T18:00:23.000Z,-119.99581666666666,33.16538333333333,19.2646,33.3164,5.32,NA,2807.59,1194.55,10.1,312.07,S225
2009-10-17T19:00:24.000Z,-119.97853333333333,33.16975,19.7589,33.2455,5.01,NA,2818.98,1234.24,13.2,317.22,S225
2009-10-17T20:00:24.000Z,-120.03674999999998,33.12501666666667,18.4143,33.4418,5.4,NA,2778.57,1174.69,14.41,300.17,S225
2009-10-17T21:00:24.000Z,-120.1003,33.06306666666667,17.2509,33.3294,8.39,NA,2676.38,1157.76,19.63,314.31,S225
2009-10-17T22:00:24.000Z,-120.16423333333333,32.9888,16.8766,33.3663,10.73,NA,2654.02,681.01,14.75,324.8,S225
2009-10-17T23:00:24.000Z,-120.22498333333334,32.920683333333336,16.609,33.3657,9.42,NA,2664.93,678.22,17.48,332.48,S225
2009-10-18T00:00:24.000Z,-120.27584999999999,32.85458333333334,16.5181,33.3793,10.43,NA,2717.02,703.58,13.91,347,S225
2009-10-18T01:00:24.000Z,-120.32915,32.78391666666666,16.4439,33.3066,8.03,NA,2772.77,1443.95,13.39,338.46,S225
2009-10-18T02:00:24.000Z,-120.39851666666667,32.7104,16.507,33.2276,8.26,NA,2794.3,1441.91,14.63,319.79,S225
2009-10-18T03:00:25.000Z,-120.47866666666667,32.6326,17.0101,33.1556,6.27,NA,2798.73,NA,20.59,343.22,S225
2009-10-18T04:00:25.000Z,-120.5653,32.54026666666667,17.3346,33.3079,4.97,NA,2807.28,NA,18.7,325.33,S225
2009-10-18T05:00:25.000Z,-120.60810000000001,32.48245,17.711,33.3744,4.88,NA,2820.98,NA,17.05,344.95,S225
2009-10-18T06:00:25.000Z,-120.59473333333332,32.46461666666667,18.0377,33.3075,4.94,NA,2820.98,4450.74,17.18,331.97,S225
2009-10-18T07:00:25.000Z,-120.57436666666665,32.459383333333335,18.2065,33.2736,5.28,NA,2823.36,4450.7,15.39,313.67,S225
2009-10-18T08:00:25.000Z,-120.63786666666668,32.39990000000001,18.3022,33.2493,4.65,NA,2822.13,4450.66,15.26,329.26,S225
2009-10-18T09:00:25.000Z,-120.73223333333331,32.33015,18.4004,33.2364,4.51,NA,2819.02,4450.73,19.21,330.13,S225
2009-10-18T10:00:25.000Z,-120.82635,32.26316666666666,18.5049,33.2256,4.66,NA,2821.56,5953.53,18.71,334.4,S225
2009-10-18T11:00:26.000Z,-120.92701666666666,32.194066666666664,18.554,33.2451,4.53,NA,2818.07,3761.77,19.85,344.09,S225
2009-10-18T12:00:26.000Z,-121.04180000000001,32.12866666666666,18.4936,33.2993,4.86,NA,2816,3899.34,21.34,348.06,S225
2009-10-18T13:00:26.000Z,-121.14236666666666,32.063383333333334,18.4526,33.3058,5.86,NA,2813.97,3952.37,18,338.25,S225
2009-10-18T14:00:26.000Z,-121.22426666666668,32.00531666666666,18.378,33.3183,5.41,NA,2810.93,4087.73,19.53,346.77,S225
2009-10-18T15:00:26.000Z,-121.32406666666667,31.927133333333334,18.3689,33.3056,6.08,NA,2810.28,3872.67,20.12,341.57,S225
2009-10-18T16:00:26.000Z,-121.4042,31.818916666666667,18.3701,33.3042,4.33,NA,2809.5,4439.13,16.53,343.62,S225
2009-10-18T17:00:26.000Z,-121.45976666666665,31.736083333333333,18.5705,33.2329,4.14,NA,2808,3001.41,14.58,334.85,S225
2009-10-18T18:00:27.000Z,-121.43515000000002,31.719866666666668,18.9203,33.187,4.03,NA,2807.77,3001.53,17.07,343.48,S225
2009-10-18T19:00:27.000Z,-121.39633333333335,31.712616666666666,19.322,33.2174,4.14,NA,2807.05,3846.12,22.21,316.74,S225
2009-10-18T20:00:27.000Z,-121.41998333333335,31.645283333333335,19.6606,33.2145,3.96,NA,2807,3941.8,18.71,334.21,S225
2009-10-18T21:00:27.000Z,-121.49311666666665,31.545100000000005,19.9034,33.2415,3.88,NA,2805.48,4038.15,22.1,341.75,S225
2009-10-18T22:00:27.000Z,-121.54694999999998,31.459500000000002,19.9971,33.2605,3.85,NA,2804.15,3958.79,20.37,348.4,S225
2009-10-18T23:00:27.000Z,-121.52815,31.427350000000004,20.1721,33.2369,3.92,NA,2801,4030.56,20.95,341.34,S225
2009-10-19T00:00:27.000Z,-121.56118333333333,31.36455,20.2024,33.5939,3.9,NA,2823.61,3975.06,18.27,354.09,S225
2009-10-19T01:00:27.000Z,-121.63108333333332,31.283383333333333,19.9073,33.5345,3.87,NA,2829.03,3905.91,13.75,352.1,S225
2009-10-19T02:00:28.000Z,-121.69868333333335,31.202983333333336,19.8683,33.5303,3.81,NA,2832.61,4016.25,16.9,359.53,S225
2009-10-19T03:00:28.000Z,-121.7668,31.13051666666667,19.7542,33.5004,3.86,NA,2830.33,4065.59,16.68,0.02,S225
2009-10-19T04:00:28.000Z,-121.83461666666665,31.060899999999997,19.721800000000002,33.4495,3.88,NA,2824.9,4025.26,16.57,348.34,S225
2009-10-19T05:00:28.000Z,-121.92205,31.002716666666664,19.5411,33.3167,3.92,NA,2825.08,4004.41,14.82,351.98,S225
2009-10-19T06:00:28.000Z,-122.00525,30.946133333333332,19.5633,33.2946,3.9,NA,2819.3,4361.65,16.78,346.09,S225
2009-10-19T07:00:28.000Z,-122.06515,30.901983333333334,19.5396,33.2779,3.95,NA,2823.52,4361.65,12.5,331.04,S225
2009-10-19T08:00:28.000Z,-122.04705000000001,30.890616666666666,19.516,33.266,4.04,NA,2819.25,4361.65,14.02,339.03,S225
2009-10-19T09:00:29.000Z,-122.13211666666666,30.8294,19.6809,33.3227,3.94,NA,2823.02,NA,16.09,342.29,S225
2009-10-19T10:00:29.000Z,-122.22146666666667,30.76833333333333,19.9903,33.4446,3.93,NA,2819.28,NA,14.9,331.83,S225
2009-10-19T11:00:29.000Z,-122.30436666666667,30.71061666666667,20.2253,33.5101,3.85,NA,2819.82,4153.06,18.8,337.4,S225
2009-10-19T12:00:29.000Z,-122.40078333333334,30.648833333333332,19.3351,33.2373,4.21,NA,2812.28,4165.45,13.89,332.97,S225
2009-10-19T13:00:29.000Z,-122.49144999999999,30.593449999999997,19.3894,33.2409,4.29,NA,2808.33,3974.9,19.04,352.39,S225
2009-10-19T14:00:29.000Z,-122.57306666666666,30.535966666666663,19.2478,33.256,4.34,NA,2807.49,3955.01,14.47,358.22,S225
2009-10-19T15:00:29.000Z,-122.65213333333335,30.484266666666667,18.885,33.164,4.6,NA,2801.3,3001.52,15.34,352.23,S225
2009-10-19T16:00:29.000Z,-122.72869999999999,30.428966666666664,19.032,33.2111,4.17,NA,2794.25,3001.44,17.86,347.97,S225
2009-10-19T17:00:30.000Z,-122.75853333333335,30.395833333333336,19.0484,33.1959,4.27,NA,2798.03,3001.47,10.58,335.82,S225
2009-10-19T18:00:30.000Z,-122.74281666666667,30.38361666666666,19.1322,33.1993,4.19,NA,2732.38,3001.63,12.57,344.4,S225
