station,dttm,lon,lat,log,bottle,z,temp,sal,density,chla,po4,no3,sio2,o2_sens,o2_wink,pH,alk,cruise
S231-002-HC,2010-10-04T09:09:00.000Z,-118.83833333333334,33.8,NA,1,793,5.2484,34.3946,27.1741,NA,4.415,6.234,NA,0.07135,NA,6.529,NA,S231
S231-002-HC,2010-10-04T09:09:00.000Z,-118.83833333333334,33.8,NA,2,743.6,5.3419,34.3884,27.1578,NA,4.389,6.494,NA,0.08979,0.07,7.429,NA,S231
S231-002-HC,2010-10-04T09:09:00.000Z,-118.83833333333334,33.8,NA,3,495.4,6.4899,34.2932,26.9367,NA,3.54,6.531,NA,0.36302,NA,7.435,NA,S231
S231-002-HC,2010-10-04T09:09:00.000Z,-118.83833333333334,33.8,NA,4,346.9,7.8583,34.2618,26.7202,NA,3.701,6.064,NA,0.73158,NA,6.692,NA,S231
S231-002-HC,2010-10-04T09:09:00.000Z,-118.83833333333334,33.8,NA,5,248.4,8.9407,34.2407,26.5372,NA,2.49,5.653,NA,1.12871,NA,7.508,NA,S231
S231-002-HC,2010-10-04T09:09:00.000Z,-118.83833333333334,33.8,NA,6,149.1,9.718,34.0782,26.2823,NA,2.827,5.038,NA,1.75585,2.64,7.157,NA,S231
S231-002-HC,2010-10-04T09:09:00.000Z,-118.83833333333334,33.8,NA,7,75.4,10.1806,33.6898,25.8998,0.06455218947592822,2.048,4.18,NA,2.90504,NA,7.633,NA,S231
S231-002-HC,2010-10-04T09:09:00.000Z,-118.83833333333334,33.8,NA,8,50.3,11.0469,33.5166,25.6132,0.31514298713092914,1.772,4.294,NA,3.68554,NA,7.681,NA,S231
S231-002-HC,2010-10-04T09:09:00.000Z,-118.83833333333334,33.8,NA,9,40.2,11.8617,33.463,25.4224,0.49306245346597966,1.527,4.455,NA,4.32007,4.86,7.75,NA,S231
S231-002-HC,2010-10-04T09:09:00.000Z,-118.83833333333334,33.8,NA,10,35.3,12.2981,33.4471,25.3275,0.6935350915899804,1.322,5.525,NA,4.67083,NA,7.787,NA,S231
S231-002-HC,2010-10-04T09:09:00.000Z,-118.83833333333334,33.8,NA,11,24.9,15.1514,33.5225,24.8008,0.7887595946988807,0.447,0.628,NA,5.94067,6.06,7.951,NA,S231
S231-002-HC,2010-10-04T09:09:00.000Z,-118.83833333333334,33.8,NA,12,15.2,18.3528,33.5702,24.0913,0.24096811102504886,0.254,0.223,NA,5.88019,NA,8.011,NA,S231
S231-002-HC,2010-10-04T09:09:00.000Z,-118.83833333333334,33.8,NA,13,0,19.8,33.547,NA,0.2449775637875289,0.215,0.03,13.359,NA,NA,7.868,NA,S231
