station,dttm,lon,lat,temp,sal,fluor,moon_phase,moon_mode,tow_dist,biomass,biodens,myct_num,myct_vol,ceph_num,ceph_vol,nekt_other_num,nekt_other_vol,nekt_total_num,nekt_total_vol,nekt_info,halo_num,gelat_num,gelat_vol,gelat_info,plas_pieces,plas_pellets,plas_density,tow_desc,cruise
S237-001-NT,2011-10-04T13:42:00.000Z,-119.215,32.03,19.8,33.53,0.1,54,set,2153.5,20,0.009287206872533085,0,0,0,0,0,0,0,0,0,0,5,NA,"siphonophoresx4, medusax1",0,0,NA,Mostly gelatinous with a few fish larvae and branching brown clumps,S237
S237-002-NT,2011-10-04T23:33:00.000Z,-119.695,31.935,19.4,33.54,0.1,64,risen,2490.823,4.5,0.001806631783952533,1,0.2,0,0,3,4,4,4.2,3 silver fish with black stripe on back,0,3,NA,siphonophores,0,0,NA,"Look like clumps of wet sand but it was moving, lots of megalopae and zoea visable",S237
S237-003-NT,2011-10-05T11:06:00.000Z,-120.54333333333334,31.856666666666666,19.1,33.26,0.1,64,risen,1663.263,8,0.004809822619754062,0,0,0,0,0,0,0,0,0,0,0,NA,0,0,0,NA,"Looking at the two buckets, no big stuff is present, floaters also don't seem present, some gelatinous biomas present",S237
S237-004-NT,2011-10-06T00:07:00.000Z,-121.245,31.606666666666666,19.4,33.3,0.1,88,set,2159.864,10,0.004629921143183089,0,0,0,0,0,0,0,0,0,9,1,NA,siphonophore,0,0,NA,"Not very much biomass in tow, lots of small siphonophores",S237
S237-005-NT,2011-10-06T12:32:00.000Z,-122.005,31.201666666666668,19.4,33.26,0.1,73,set,2262.162,9,0.003978494908852682,2,1,0,0,0,0,2,1,Myctophids,3,1,NA,siphonophore,0,0,NA,"A sparse tow, much of contents were small (<5mm) clear gelatinous zooplankton.  The remainder was mainly pigmented brown and composed of smaller individuals.",S237
S237-006-NT,2011-10-06T22:46:00.000Z,-122.76833333333333,30.815,19.5,33.29,0.1,73,risen,2039.639,29,0.014218202338747201,0,0,0,0,0,0,0,0,0,46,21,NA,"20 Siphonophores14ml, 1 Salp0.5ml",0,0,NA,"Small gelatinous pieces with small siphonophores and megolopea, pale brown /black in color with blue irridesence",S237
S237-007-NT,2011-10-07T11:07:00.000Z,-123.65666666666667,30.336666666666666,19.4,33.16,0.1,82,risen,2014.043,8.5,0.0042203666952493075,0,0,0,0,0,0,0,0,0,0,2,NA,"I siphonophore, 1.5mL, 1 Salp, 2mL",0,0,NA,"Small gelatinous, small amt of biomass in general, purple-pink in color with lots of very small tar bits",S237
S237-008-NT,2011-10-08T00:02:00.000Z,-124.78666666666666,29.77,20.2,33.42,0.1,64,risen,1870.324,7,0.003742667045923594,0,0,0,0,0,0,0,0,0,10,0,NA,0,0,0,NA,"Small catch, pinkish in color, but ,mostly transparent organisms, a lot of small jellies, no big stuff, some small irridescent flying creatures with legs also some smaller flee like organisms.",S237
S237-009-NT,2011-10-08T12:42:00.000Z,-125.76166666666667,29.425,20,33.27,0.1,89,set,1288.75,3,0.0023278370514064014,0,0,0,0,0,0,0,0,0,2,0,NA,0,0,0,NA,"Not much here, nothing over 2 cm.",S237
S237-010-NT,2011-10-08T22:40:00.000Z,-126.505,28.965,20.8,33.9,0.1,89,risen,4194.061,10,0.0023843239285265523,0,0,0,0,0,0,0,0,NA,0,0,NA,1Velella velella,0,0,NA,"a lot of krill, not too many gelatinous organisms, bioluminescence present, very few floating particles",S237
