station,dttm,lon,lat,temp,sal,fluor,chla,chla_vol,po4,no3,sio2,o2,pH,alk,cruise
SS001,2010-10-05T12:25:00.000Z,-119.89833333333333,33.858333333333334,14.7,33.47,NA,1.3976952330005326,250,0.486,1.515,10.781,NA,NA,NA,S231
SS002,2010-10-06T00:20:00.000Z,-121.31666666666666,33.92166666666667,15.3,33.47,NA,1.1596339752282818,250,0.318,0.935,6.249,NA,NA,NA,S231
SS003,2010-10-07T00:45:00.000Z,-123.175,32.17166666666667,18.9,33.37,NA,0.062046281499378214,250,0.518,0.22,NA,NA,NA,NA,S231
SS004,2010-10-07T10:33:00.000Z,-123.91666666666667,31.13,19.3,33.37,NA,0.07507700297743826,250,NA,0.24,9.323,NA,NA,NA,S231
SS005,2010-10-08T02:58:00.000Z,-124.68666666666667,29.831666666666667,19.4,33.42,NA,0.057535647141588195,250,0.267,0.035,NA,NA,NA,NA,S231
SS006,2010-10-09T00:26:00.000Z,-125.42333333333333,28.508333333333333,20.6,33.87,NA,0.04500610725883816,250,0.383,0.101,NA,NA,NA,NA,S231
SS007,2010-10-09T10:30:00.000Z,-125.77666666666667,28.036666666666665,20.8,33.83,NA,0.05302501278379818,250,0.421,0.304,5.445,NA,NA,NA,S231
SS008,2010-10-10T00:13:00.000Z,-126.19666666666667,27.311666666666667,20.9,34.01,NA,0.0612945091064132,250,0.408,0.423,NA,NA,NA,NA,S231
SS009,2010-10-10T23:42:00.000Z,-127.065,25.943333333333335,21,34.08,NA,0.043001380877598146,250,0.363,0.054,6.735,NA,NA,NA,S231
SS010,2010-10-11T10:34:00.000Z,-127.145,25.136666666666667,21.3,34.01,NA,0.04400374406821815,250,0.338,0.012,6.427,NA,NA,NA,S231
SS011,2010-10-12T00:34:00.000Z,-127.22166666666666,24.415,21.4,33.96,NA,0.04851437842600816,250,0.8093171710124704,0.057,9.51,NA,NA,NA,S231
SS012,2010-10-12T10:50:00.000Z,-127.46,23.928333333333335,21.6,34.17,NA,0.031245102134177825,250,0.6530304351617683,0.094,9.22,NA,NA,NA,S231
